Variable,Description
F_ALLCAUSE,"Year of death, if dead. NA otherwise"
DEATH_MACE_YEAR,"1= died this year and had a MACE event, 0 = otherwise. Derived in model"
NONFATAL_MACE_YEAR,"1= had a MACE event and did not die this year, 0 = otherwise. Derived in model"
MACE_HIST,"1= has a history of MACE events, 0 = otherwise. Derived in model"
p_CHF,probability of CHF in a given year. Derived in model in each year alive
p_IHD,probability of IHD in a given year. Derived in model in each year alive
p_renal,probability of renal failure in a given year. Derived in model in each year alive
p_amp2,probability of 2nd amputation in a given year. Derived in model in each year alive
p_amp1,probability of 1st amputation in a given year. Derived in model in each year alive
p_ULCER,probability of ulcer in a given year. Derived in model in each year alive
p_STRO2,probability of 2nd stroke in a given year. Derived in model in each year alive
p_STRO,probability of 1st stroke in a given year. Derived in model in each year alive
p_MI2,probability of 2nd MI in a given year. Derived in model in each year alive
p_MI,probability of 1st MI in a given year. Derived in model in each year alive
p_BLIND,probability of blindness in a given year. Derived in model in each year alive
p_DEATH,probability of death in a given year. Derived in model in each year alive
p_PVD,probability of PVD this year
p_ATFIB,probability of Atrial Fibrilliation this year
p_MMALB,probability of Macro or Micro albuminurea this year
p_SMO,probability that someone will still be a smoker this year if smoking is assessed this year
p_BC,probability that somone will develop breast cancer this year
p_CC,probability that someone will develop colorectal cancer this year
p_DEP,probability that someone will develop depression
p_OST,probability that someone will develop osteoarthritis
GP,number of GP visits each year
